series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
teenage-mercenary,Teenage Mercenary,190,episode-000190-episode-189,"Episode 189 Oct 15, 2024 like 45,769 #190",512,175,337,0.658203125,690,39,485,6,https://www.webtoons.com/en/action/teenage-mercenary/episode-189/viewer?title_no=2677&episode_no=190
teenage-mercenary,Teenage Mercenary,208,episode-000208-episode-207,"Episode 207 Feb 18, 2025 like 42,740 #208",524,187,337,0.6431297709923665,690,39,498,7,https://www.webtoons.com/en/action/teenage-mercenary/episode-207/viewer?title_no=2677&episode_no=208
teenage-mercenary,Teenage Mercenary,218,episode-000218-episode-217,"Episode 217 Apr 29, 2025 like 36,844 #218",535,197,338,0.6317757009345795,690,39,507,8,https://www.webtoons.com/en/action/teenage-mercenary/episode-217/viewer?title_no=2677&episode_no=218
teenage-mercenary,Teenage Mercenary,237,episode-000237-episode-236,"Episode 236 Sep 9, 2025 like 31,428 #237",509,179,330,0.6483300589390962,690,39,488,8,https://www.webtoons.com/en/action/teenage-mercenary/episode-236/viewer?title_no=2677&episode_no=237
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,"Episode 261 Mar 10, 2026 like 21,010 #262",528,189,339,0.6420454545454546,690,39,500,9,https://www.webtoons.com/en/action/teenage-mercenary/episode-261/viewer?title_no=2677&episode_no=262
teenage-mercenary,Teenage Mercenary,263,episode-000263-episode-262,"Episode 262 Mar 17, 2026 like 20,882 #263",522,187,335,0.6417624521072797,690,39,496,9,https://www.webtoons.com/en/action/teenage-mercenary/episode-262/viewer?title_no=2677&episode_no=263
the-breaker-eternal-force,The Breaker: Eternal Force,1,episode-000001-episode-1,First episode,479,232,247,0.5156576200417536,800,191,450,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-1/viewer?title_no=4501&episode_no=1
the-breaker-eternal-force,The Breaker: Eternal Force,6,episode-000006-episode-6,"Episode 6 Aug 21, 2022 like 23,716 #6",463,194,269,0.5809935205183585,800,193,434,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-6/viewer?title_no=4501&episode_no=6
the-breaker-eternal-force,The Breaker: Eternal Force,7,episode-000007-episode-7,"Episode 7 Aug 28, 2022 like 22,452 #7",463,213,250,0.5399568034557235,800,191,437,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-7/viewer?title_no=4501&episode_no=7
the-breaker-eternal-force,The Breaker: Eternal Force,8,episode-000008-episode-8,"Episode 8 Sep 4, 2022 like 21,325 #8",456,198,258,0.5657894736842105,800,191,427,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-8/viewer?title_no=4501&episode_no=8
