series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
teenage-mercenary,Teenage Mercenary,209,episode-000209-episode-208,"Episode 208 Feb 25, 2025 like 41,755 #209",544,207,337,0.6194852941176471,690,39,517,7,https://www.webtoons.com/en/action/teenage-mercenary/episode-208/viewer?title_no=2677&episode_no=209
teenage-mercenary,Teenage Mercenary,219,episode-000219-episode-218,"Episode 218 May 6, 2025 like 36,748 #219",530,195,335,0.6320754716981132,690,39,504,8,https://www.webtoons.com/en/action/teenage-mercenary/episode-218/viewer?title_no=2677&episode_no=219
teenage-mercenary,Teenage Mercenary,255,episode-000255-episode-254,"Episode 254 Jan 13, 2026 like 25,649 #255",533,201,332,0.6228893058161351,690,39,510,9,https://www.webtoons.com/en/action/teenage-mercenary/episode-254/viewer?title_no=2677&episode_no=255
the-breaker-eternal-force,The Breaker: Eternal Force,1,episode-000001-episode-1,First episode,479,232,247,0.5156576200417536,800,191,450,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-1/viewer?title_no=4501&episode_no=1
the-breaker-eternal-force,The Breaker: Eternal Force,2,episode-000002-episode-2,"Episode 2 Jul 31, 2022 like 37,370 #2",404,156,248,0.6138613861386139,800,191,374,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-2/viewer?title_no=4501&episode_no=2
the-breaker-eternal-force,The Breaker: Eternal Force,3,episode-000003-episode-3,"Episode 3 Jul 31, 2022 like 34,718 #3",412,165,247,0.5995145631067961,800,191,384,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-3/viewer?title_no=4501&episode_no=3
the-breaker-eternal-force,The Breaker: Eternal Force,4,episode-000004-episode-4,"Episode 4 Aug 7, 2022 like 26,452 #4",396,149,247,0.6237373737373737,800,191,367,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-4/viewer?title_no=4501&episode_no=4
the-breaker-eternal-force,The Breaker: Eternal Force,6,episode-000006-episode-6,"Episode 6 Aug 21, 2022 like 23,716 #6",463,194,269,0.5809935205183585,800,193,434,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-6/viewer?title_no=4501&episode_no=6
the-breaker-eternal-force,The Breaker: Eternal Force,7,episode-000007-episode-7,"Episode 7 Aug 28, 2022 like 22,452 #7",463,213,250,0.5399568034557235,800,191,437,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-7/viewer?title_no=4501&episode_no=7
the-breaker-eternal-force,The Breaker: Eternal Force,8,episode-000008-episode-8,"Episode 8 Sep 4, 2022 like 21,325 #8",456,198,258,0.5657894736842105,800,191,427,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-8/viewer?title_no=4501&episode_no=8
